gen	mean-gamma	mean-score	mean-reach	best-score	best-gamma	mean-update	best-update
0	0.3810	0.0032	4.5625	0.0762	0.8571	1.0000	1.0000
1	0.4167	0.0192	4.5819	0.3857	1.0000	0.9688	1.0000
2	0.4107	0.0359	4.4236	0.4000	1.0000	0.9479	1.0000
3	0.5119	0.0657	5.6208	0.6048	1.0000	0.9792	1.0000
4	0.6548	0.1163	6.4278	0.7952	1.0000	0.9583	1.0000
5	0.7857	0.2137	8.2694	0.9333	1.0000	0.9688	1.0000
6	0.9167	0.2942	9.6111	0.9333	1.0000	0.9896	1.0000
7	0.9762	0.4244	10.7792	0.9333	1.0000	1.0000	1.0000
8	0.9702	0.3987	10.3167	0.8833	1.0000	0.9583	1.0000
9	0.9643	0.4915	11.2125	0.8833	1.0000	0.9688	1.0000
10	0.9762	0.5268	11.2111	0.9119	1.0000	0.9688	1.0000
11	0.9643	0.4734	10.3861	0.9119	1.0000	0.9375	1.0000
12	0.9643	0.4821	10.4931	0.9405	1.0000	0.9271	1.0000
13	0.9762	0.5744	11.8361	0.9405	1.0000	0.9792	1.0000
14	0.9702	0.4608	10.3292	0.9405	1.0000	0.9167	1.0000
15	0.9762	0.5611	11.3819	0.9405	1.0000	0.9479	1.0000
16	0.9821	0.6527	12.3875	0.9405	1.0000	0.9792	1.0000
17	0.9702	0.5285	10.9097	0.9405	1.0000	0.9375	1.0000
18	0.9821	0.6215	12.2208	0.9405	1.0000	0.9688	1.0000
19	0.9881	0.5931	11.7306	0.9405	1.0000	0.9583	1.0000
20	0.9821	0.5493	11.2875	0.9405	1.0000	0.9479	1.0000
21	0.9702	0.5596	11.6000	0.9405	1.0000	0.9583	1.0000
22	1.0000	0.6919	12.7028	0.9405	1.0000	0.9583	1.0000
23	0.9762	0.6161	12.1000	0.9405	1.0000	0.9688	1.0000
24	0.9762	0.5980	11.9778	0.9405	1.0000	0.9688	1.0000
25	0.9702	0.6245	12.1167	0.9405	1.0000	0.9688	1.0000
26	0.9643	0.5433	11.1403	0.9405	1.0000	0.9375	1.0000
27	0.9940	0.6366	12.1597	0.9405	1.0000	0.9583	1.0000
28	0.9881	0.6738	12.7111	0.9405	1.0000	0.9896	1.0000
29	0.9702	0.5691	11.3528	0.9405	1.0000	0.9479	1.0000
