gen	mean-gamma	mean-score	mean-reach	best-score	best-gamma	mean-update	best-update
0	0.3810	0.0032	4.5625	0.0762	0.8571	1.0000	1.0000
1	0.4167	0.0192	4.5819	0.3857	1.0000	0.9688	1.0000
2	0.4107	0.0359	4.4236	0.4000	1.0000	0.9479	1.0000
3	0.5119	0.0657	5.6208	0.6048	1.0000	0.9792	1.0000
4	0.6548	0.1163	6.4278	0.7952	1.0000	0.9583	1.0000
5	0.7857	0.2137	8.2694	0.9333	1.0000	0.9688	1.0000
6	0.9167	0.2942	9.6111	0.9333	1.0000	0.9896	1.0000
7	0.9762	0.4244	10.7792	0.9333	1.0000	1.0000	1.0000
8	0.9702	0.3502	10.3167	0.8333	1.0000	0.9583	1.0000
9	0.9643	0.4433	11.2125	0.8333	1.0000	0.9688	1.0000
10	0.9762	0.4780	11.2111	0.8619	1.0000	0.9688	1.0000
11	0.9643	0.4252	10.3861	0.8619	1.0000	0.9375	1.0000
12	0.9643	0.4339	10.4931	0.8905	1.0000	0.9271	1.0000
13	0.9762	0.5256	11.8361	0.8905	1.0000	0.9792	1.0000
14	0.9702	0.4123	10.3292	0.8905	1.0000	0.9167	1.0000
15	0.9762	0.5123	11.3819	0.8905	1.0000	0.9479	1.0000
16	0.9821	0.6036	12.3875	0.8905	1.0000	0.9792	1.0000
17	0.9702	0.4800	10.9097	0.8905	1.0000	0.9375	1.0000
18	0.9821	0.5724	12.2208	0.8905	1.0000	0.9688	1.0000
19	0.9881	0.5437	11.7306	0.8905	1.0000	0.9583	1.0000
20	0.9821	0.5002	11.2875	0.8905	1.0000	0.9479	1.0000
21	0.9702	0.5111	11.6000	0.8905	1.0000	0.9583	1.0000
22	1.0000	0.6419	12.7028	0.8905	1.0000	0.9583	1.0000
23	0.9762	0.5673	12.1000	0.8905	1.0000	0.9688	1.0000
24	0.9762	0.5492	11.9778	0.8905	1.0000	0.9688	1.0000
25	0.9702	0.5760	12.1167	0.8905	1.0000	0.9688	1.0000
26	0.9643	0.4950	11.1403	0.8905	1.0000	0.9375	1.0000
27	0.9940	0.5869	12.1597	0.8905	1.0000	0.9583	1.0000
28	0.9881	0.6244	12.7111	0.8905	1.0000	0.9896	1.0000
29	0.9702	0.5206	11.3528	0.8905	1.0000	0.9479	1.0000
