gen	mean-gamma	mean-score	mean-reach	best-score	best-gamma	mean-update	best-update	mean-plastic	mean-held
0	0.6685	0.0511	6.5597	0.8199	0.9900	1.0000	1.0000	0.6685	0.0000
1	0.7019	0.0511	6.3153	0.8199	0.9900	0.9688	1.0000	0.6583	0.0062
2	0.6633	0.0773	6.1569	0.8199	0.9900	0.9792	1.0000	0.6325	0.0062
3	0.6223	0.0785	5.7403	0.8199	0.9900	0.9479	1.0000	0.5841	0.0099
4	0.6040	0.0923	5.8889	0.8199	0.9900	0.9583	1.0000	0.5659	0.0120
5	0.7658	0.1197	6.9972	0.8199	0.9900	0.9583	1.0000	0.7151	0.0083
6	0.8131	0.1900	8.2556	0.8199	0.9900	0.9896	1.0000	0.7833	0.0130
7	0.9506	0.1900	8.7028	0.8199	0.9900	0.9583	1.0000	0.8778	0.0188
8	0.9623	0.1373	8.8486	0.7209	0.9900	0.9375	1.0000	0.8715	0.0167
9	0.9829	0.1443	9.1069	0.7209	0.9900	0.9583	1.0000	0.9003	0.0208
10	0.9946	0.1458	8.5792	0.7209	0.9900	0.9167	1.0000	0.8732	0.0193
11	0.9963	0.1774	9.7153	0.7209	0.9900	0.9583	1.0000	0.9175	0.0198
12	0.9950	0.2029	9.7028	0.7722	1.0000	0.9688	1.0000	0.9211	0.0234
13	0.9958	0.2170	9.0361	0.7722	1.0000	0.9271	1.0000	0.8797	0.0260
14	0.9896	0.1997	9.5486	0.7722	1.0000	0.9583	1.0000	0.8992	0.0292
15	0.9975	0.2368	9.4708	0.7722	1.0000	0.9375	1.0000	0.8921	0.0245
16	0.9979	0.2308	10.2375	0.7722	1.0000	0.9688	1.0000	0.9232	0.0234
17	0.9954	0.2618	9.8000	0.7722	1.0000	0.9479	1.0000	0.9068	0.0245
18	0.9971	0.2696	10.6403	0.7722	1.0000	0.9792	1.0000	0.9370	0.0229
19	0.9950	0.2433	9.9097	0.7722	1.0000	0.9792	1.0000	0.9225	0.0240
20	0.9975	0.2693	9.3097	0.7722	1.0000	0.9167	1.0000	0.8769	0.0250
21	0.9962	0.3327	10.6181	0.7722	1.0000	0.9583	1.0000	0.9160	0.0234
22	0.9946	0.2640	9.9069	0.7722	1.0000	0.9479	1.0000	0.9041	0.0219
23	0.9967	0.2822	10.2486	0.7722	1.0000	0.9583	1.0000	0.9171	0.0198
24	0.9921	0.2659	10.3847	0.7722	1.0000	0.9688	1.0000	0.9268	0.0193
25	0.9933	0.2636	9.4292	0.7722	1.0000	0.9375	1.0000	0.8924	0.0255
26	0.9950	0.3142	10.1875	0.8717	0.9500	0.9583	1.0000	0.9157	0.0208
27	0.9813	0.2840	9.4708	0.8717	0.9500	0.9375	1.0000	0.8729	0.0276
28	0.9908	0.2787	9.5472	0.8717	0.9500	0.9479	1.0000	0.8973	0.0260
29	0.9925	0.2704	9.5653	0.8717	0.9500	0.9583	1.0000	0.9041	0.0281
