gen	mean-gamma	mean-score	mean-reach	best-score	best-gamma	mean-update	best-update	mean-plastic	mean-held
0	0.6685	0.0511	6.5597	0.8199	0.9900	1.0000	1.0000	0.6685	0.0000
1	0.7019	0.0511	5.9611	0.8199	0.9900	0.9688	1.0000	0.6583	0.0062
2	0.6633	0.0686	5.8764	0.8199	0.9900	0.9792	1.0000	0.6325	0.0062
3	0.6223	0.0686	5.5375	0.8199	0.9900	0.9479	1.0000	0.5841	0.0099
4	0.6602	0.0958	5.9181	0.8199	0.9900	0.9583	1.0000	0.6139	0.0104
5	0.7765	0.1086	6.7306	0.8199	0.9900	0.9583	1.0000	0.7204	0.0083
6	0.8527	0.1545	8.5125	0.8199	0.9900	0.9896	1.0000	0.8193	0.0135
7	0.9173	0.1596	8.2236	0.8199	0.9900	0.9583	1.0000	0.8477	0.0167
8	0.9735	-3.3593	8.3986	-2.5988	0.9900	0.9375	0.7500	0.8797	0.0161
9	0.9629	-2.9595	6.5417	-1.7078	0.9900	0.8646	0.5000	0.7736	0.0359
10	0.9712	-2.0985	2.9097	-0.7838	0.9500	0.6042	0.2500	0.5246	0.0531
11	0.9769	-1.4236	2.0097	0.0000	0.9900	0.4271	0.0000	0.3559	0.0734
12	0.9679	-1.0331	1.5653	0.0000	0.9900	0.3333	0.0000	0.2583	0.1016
13	0.9700	-0.5471	1.3736	0.0000	0.9900	0.1771	0.0000	0.1368	0.1083
14	0.9640	-0.2378	1.3514	0.0000	0.9900	0.0833	0.0000	0.0594	0.1193
15	0.9827	-0.1297	1.5222	0.0000	0.9900	0.0417	0.0000	0.0324	0.1135
16	0.9769	-0.1246	1.4250	0.0000	0.9900	0.0417	0.0000	0.0312	0.1203
17	0.9625	-0.1184	1.3764	0.0000	0.9900	0.0417	0.0000	0.0296	0.1297
18	0.9440	-0.1101	1.2972	0.0000	0.9900	0.0417	0.0000	0.0275	0.1344
19	0.9708	-0.1874	1.3639	0.0000	0.9900	0.0625	0.0000	0.0469	0.1219
20	0.9673	-0.1159	1.4278	0.0000	0.9900	0.0417	0.0000	0.0290	0.1250
21	0.9742	-0.0609	1.4417	0.0000	0.9900	0.0208	0.0000	0.0152	0.1135
22	0.9702	-0.1172	1.3944	0.0000	0.9900	0.0417	0.0000	0.0293	0.1219
23	0.9660	-0.1236	1.4736	0.0000	0.9900	0.0417	0.0000	0.0309	0.1234
24	0.9748	-0.1558	1.3361	0.0000	0.9900	0.0521	0.0000	0.0389	0.1172
25	0.9675	-0.1415	1.3736	0.0000	0.9900	0.0521	0.0000	0.0354	0.1281
26	0.9698	-0.1251	1.3931	0.0000	0.9900	0.0417	0.0000	0.0313	0.1260
27	0.9646	-0.0622	1.4250	0.0000	0.9900	0.0208	0.0000	0.0155	0.1286
28	0.9692	-0.0606	1.3764	0.0000	0.9900	0.0208	0.0000	0.0152	0.1234
29	0.9727	-0.1212	1.3861	0.0000	0.9900	0.0417	0.0000	0.0303	0.1182
