gen	mean-gamma	mean-score	mean-reach	best-score	best-gamma	mean-update	best-update	mean-plastic	mean-held
0	0.6685	0.0511	6.5597	0.8199	0.9900	1.0000	1.0000	0.6685	0.0000
1	0.7019	0.0511	5.9611	0.8199	0.9900	0.9688	1.0000	0.6583	0.0062
2	0.6633	0.0686	5.8764	0.8199	0.9900	0.9792	1.0000	0.6325	0.0062
3	0.6223	0.0686	5.5375	0.8199	0.9900	0.9479	1.0000	0.5841	0.0099
4	0.6602	0.0958	5.9181	0.8199	0.9900	0.9583	1.0000	0.6139	0.0104
5	0.7765	0.1086	6.7306	0.8199	0.9900	0.9583	1.0000	0.7204	0.0083
6	0.8527	0.1545	8.5125	0.8199	0.9900	0.9896	1.0000	0.8193	0.0135
7	0.9173	0.1596	8.2236	0.8199	0.9900	0.9583	1.0000	0.8477	0.0167
8	0.9735	-6.8782	8.3986	-5.1975	0.9900	0.9375	0.7500	0.8797	0.0161
9	0.9425	-5.9825	6.0944	-3.4155	0.9900	0.8646	0.5000	0.7592	0.0323
10	0.9394	-4.2135	2.7500	-1.5675	0.9500	0.6354	0.2500	0.5267	0.0521
11	0.9129	-2.7934	1.9875	0.0000	0.9900	0.4688	0.0000	0.3492	0.0734
12	0.9479	-1.9872	1.6056	0.0000	0.9900	0.3333	0.0000	0.2484	0.1005
13	0.9675	-1.0949	1.3986	0.0000	0.9900	0.1771	0.0000	0.1369	0.1078
14	0.9681	-0.4767	1.2903	0.0000	0.9900	0.0833	0.0000	0.0596	0.1219
15	0.9829	-0.2608	1.3528	0.0000	0.9900	0.0417	0.0000	0.0326	0.1125
16	0.9800	-0.2486	1.2931	0.0000	0.9900	0.0417	0.0000	0.0311	0.1198
17	0.9679	-0.2395	1.3889	0.0000	0.9900	0.0417	0.0000	0.0299	0.1276
18	0.9608	-0.2287	1.4333	0.0000	0.9900	0.0417	0.0000	0.0286	0.1307
19	0.9725	-0.3718	1.3597	0.0000	0.9900	0.0625	0.0000	0.0465	0.1198
20	0.9748	-0.2362	1.3444	0.0000	0.9900	0.0417	0.0000	0.0295	0.1250
21	0.9779	-0.1223	1.3792	0.0000	0.9900	0.0208	0.0000	0.0153	0.1141
22	0.9792	-0.2336	1.3403	0.0000	0.9900	0.0417	0.0000	0.0292	0.1240
23	0.9752	-0.2453	1.4556	0.0000	0.9900	0.0417	0.0000	0.0307	0.1229
24	0.9783	-0.3149	1.3972	0.0000	0.9900	0.0521	0.0000	0.0394	0.1172
25	0.9731	-0.2900	1.3764	0.0000	0.9900	0.0521	0.0000	0.0363	0.1250
26	0.9808	-0.2505	1.3653	0.0000	0.9900	0.0417	0.0000	0.0313	0.1234
27	0.9662	-0.1197	1.3708	0.0000	0.9900	0.0208	0.0000	0.0150	0.1281
28	0.9767	-0.1227	1.3181	0.0000	0.9900	0.0208	0.0000	0.0153	0.1229
29	0.9810	-0.2431	1.3444	0.0000	0.9900	0.0417	0.0000	0.0304	0.1177
