gen	mean-gamma	mean-score	mean-reach	best-score	best-gamma	mean-update	best-update	mean-plastic	mean-held
0	0.6685	0.0511	6.5597	0.8199	0.9900	1.0000	1.0000	0.6685	0.0000
1	0.7019	0.0511	5.9611	0.8199	0.9900	0.9688	1.0000	0.6583	0.0062
2	0.6633	0.0686	5.8764	0.8199	0.9900	0.9792	1.0000	0.6325	0.0062
3	0.6223	0.0686	5.5375	0.8199	0.9900	0.9479	1.0000	0.5841	0.0099
4	0.6602	0.0958	5.9181	0.8199	0.9900	0.9583	1.0000	0.6139	0.0104
5	0.7765	0.1086	6.7306	0.8199	0.9900	0.9583	1.0000	0.7204	0.0083
6	0.8527	0.1545	8.5125	0.8199	0.9900	0.9896	1.0000	0.8193	0.0135
7	0.9173	0.1596	8.2236	0.8199	0.9900	0.9583	1.0000	0.8477	0.0167
8	0.9735	-1.5998	8.3986	-1.1601	0.9900	0.9375	1.0000	0.8797	0.0161
9	0.9787	-1.4103	6.4833	-1.1182	0.9900	0.8438	1.0000	0.7869	0.0234
10	0.9842	-1.2572	5.1194	-0.8375	1.0000	0.7604	0.5000	0.6931	0.0380
11	0.9821	-1.1648	5.7153	-0.4063	1.0000	0.7396	0.2500	0.6549	0.0510
12	0.9783	-1.0616	4.7722	-0.4063	1.0000	0.6771	0.2500	0.5849	0.0604
13	0.9879	-0.7883	2.9514	-0.3622	0.9500	0.4896	0.2500	0.4111	0.0745
14	0.9879	-0.4866	2.0042	0.0000	0.9900	0.3125	0.0000	0.2433	0.0979
15	0.9875	-0.2356	1.8528	0.0000	0.9900	0.1563	0.0000	0.1178	0.1000
16	0.9875	-0.0811	1.6431	0.0000	0.9900	0.0521	0.0000	0.0406	0.0880
17	0.9887	-0.0650	1.5264	0.0000	0.9900	0.0417	0.0000	0.0325	0.0917
18	0.9825	-0.0647	1.5611	0.0000	0.9900	0.0417	0.0000	0.0323	0.0938
19	0.9858	-0.0943	1.5514	0.0000	0.9900	0.0625	0.0000	0.0472	0.0995
20	0.9887	-0.0653	1.5361	0.0000	0.9900	0.0417	0.0000	0.0326	0.0938
21	0.9933	-0.0329	1.5014	0.0000	0.9900	0.0208	0.0000	0.0165	0.0995
22	0.9925	-0.0653	1.6153	0.0000	0.9900	0.0417	0.0000	0.0327	0.1005
23	0.9904	-0.0659	1.5486	0.0000	0.9900	0.0417	0.0000	0.0330	0.0911
24	0.9896	-0.0802	1.4639	0.0000	0.9900	0.0521	0.0000	0.0401	0.0969
25	0.9887	-0.0786	1.4625	0.0000	0.9900	0.0521	0.0000	0.0393	0.0927
26	0.9912	-0.0656	1.5417	0.0000	0.9900	0.0417	0.0000	0.0328	0.1078
27	0.9892	-0.0310	1.6792	0.0000	0.9900	0.0208	0.0000	0.0155	0.1031
28	0.9883	-0.0325	1.5792	0.0000	0.9900	0.0208	0.0000	0.0162	0.1068
29	0.9917	-0.0639	1.5625	0.0000	0.9900	0.0417	0.0000	0.0319	0.1026
