gen	mean-gamma	mean-score	mean-reach	best-score	best-gamma	mean-update	best-update	mean-plastic	mean-held
0	0.6685	0.0511	6.5597	0.8199	0.9900	1.0000	1.0000	0.6685	0.0000
1	0.7019	0.0511	5.9611	0.8199	0.9900	0.9688	1.0000	0.6583	0.0062
2	0.6633	0.0686	5.8764	0.8199	0.9900	0.9792	1.0000	0.6325	0.0062
3	0.6223	0.0686	5.5375	0.8199	0.9900	0.9479	1.0000	0.5841	0.0099
4	0.6602	0.0958	5.9181	0.8199	0.9900	0.9583	1.0000	0.6139	0.0104
5	0.7765	0.1086	6.7306	0.8199	0.9900	0.9583	1.0000	0.7204	0.0083
6	0.8527	0.1545	8.5125	0.8199	0.9900	0.9896	1.0000	0.8193	0.0135
7	0.9173	0.1596	8.2236	0.8199	0.9900	0.9583	1.0000	0.8477	0.0167
8	0.9735	0.0717	8.3986	0.7209	0.9900	0.9375	1.0000	0.8797	0.0161
9	0.9854	0.0752	8.1944	0.7209	0.9900	0.9167	1.0000	0.8448	0.0339
10	0.9896	0.0841	7.3153	0.7209	0.9900	0.8125	1.0000	0.7558	0.0339
11	0.9962	0.0893	8.1319	0.7209	0.9900	0.8542	1.0000	0.8057	0.0333
12	0.9879	0.0890	7.8986	0.7209	0.9900	0.8438	1.0000	0.7863	0.0411
13	0.9854	0.0979	7.0722	0.7209	0.9900	0.7396	1.0000	0.6910	0.0573
14	0.9871	0.1073	8.1153	0.7209	0.9900	0.7917	1.0000	0.7536	0.0437
15	0.9837	0.1258	8.2889	0.7209	0.9900	0.8021	1.0000	0.7695	0.0344
16	0.9946	0.1951	10.3986	0.7209	0.9900	0.9688	1.0000	0.9321	0.0151
17	0.9958	0.2323	9.8000	0.8779	0.9900	0.9479	1.0000	0.9018	0.0234
18	0.9929	0.2073	10.2417	0.8779	0.9900	0.9792	1.0000	0.9317	0.0193
19	0.9942	0.2083	9.7875	0.8779	0.9900	0.9792	1.0000	0.9250	0.0224
20	0.9946	0.2231	9.0889	0.8779	0.9900	0.9167	1.0000	0.8754	0.0188
21	0.9908	0.2169	9.9889	0.8779	0.9900	0.9583	1.0000	0.9123	0.0203
22	0.9950	0.2320	9.6681	0.8779	0.9900	0.9479	1.0000	0.9019	0.0234
23	0.9946	0.2202	10.2347	0.8779	0.9900	0.9583	1.0000	0.9144	0.0193
24	0.9929	0.2471	10.1833	0.8779	0.9900	0.9688	1.0000	0.9233	0.0198
25	0.9942	0.2228	9.7611	0.8779	0.9900	0.9375	1.0000	0.8886	0.0276
26	0.9958	0.2771	10.5042	0.8779	0.9900	0.9583	1.0000	0.9101	0.0255
27	0.9929	0.2371	9.5347	0.8779	0.9900	0.9375	1.0000	0.8823	0.0276
28	0.9967	0.2716	9.8542	0.8779	0.9900	0.9479	1.0000	0.9012	0.0255
29	0.9912	0.2869	10.3958	0.8779	0.9900	0.9583	1.0000	0.9046	0.0240
