gen	mean-gamma	mean-score	mean-reach	best-score	best-gamma	mean-update	best-update	mean-plastic	mean-held
0	0.6685	0.0511	6.5597	0.8199	0.9900	1.0000	1.0000	0.6685	0.0000
1	0.6335	0.0511	5.2000	0.8199	0.9900	0.9271	1.0000	0.5865	0.0109
2	0.5967	0.0785	5.4639	0.8199	0.9900	0.9479	1.0000	0.5582	0.0078
3	0.6060	0.1153	5.8306	0.8812	1.0000	0.9479	1.0000	0.5647	0.0083
4	0.6492	0.1185	6.6236	0.8812	1.0000	0.9792	1.0000	0.6328	0.0089
5	0.7604	0.1232	7.5236	0.8812	1.0000	0.9792	1.0000	0.7305	0.0146
6	0.8448	0.1641	7.6375	0.8812	1.0000	0.9375	1.0000	0.7747	0.0172
7	0.9340	0.2091	9.3306	0.8812	1.0000	0.9688	1.0000	0.8874	0.0229
8	0.9942	-1.6452	10.0361	-1.0938	1.0000	0.9792	1.0000	0.9414	0.0333
9	0.9958	-1.4253	8.8236	-0.8906	0.9500	0.8750	0.5000	0.8365	0.0422
10	0.9913	-1.2461	6.3778	-0.4688	1.0000	0.7396	0.2500	0.7005	0.0516
11	0.9829	-0.9275	4.4556	0.0000	0.9900	0.5521	0.0000	0.5056	0.0750
12	0.9594	-0.6847	2.9167	0.0000	0.9900	0.3958	0.0000	0.3424	0.0880
13	0.9552	-0.4598	2.1236	0.0000	0.9900	0.2708	0.0000	0.2299	0.0948
14	0.9565	-0.2265	1.7819	0.0000	0.9900	0.1354	0.0000	0.1132	0.1042
15	0.9467	-0.0492	1.7264	0.0000	0.9900	0.0313	0.0000	0.0246	0.0995
16	0.9733	-0.0713	1.7722	0.0000	0.9900	0.0417	0.0000	0.0356	0.1021
17	0.9669	-0.1211	1.8194	0.0000	0.9900	0.0729	0.0000	0.0606	0.1036
18	0.9771	-0.0543	1.6736	0.0000	0.9900	0.0313	0.0000	0.0272	0.1068
19	0.9700	-0.1082	1.6861	0.0000	0.9900	0.0625	0.0000	0.0541	0.0995
20	0.9733	-0.0700	1.7819	0.0000	0.9900	0.0417	0.0000	0.0350	0.1052
21	0.9692	-0.1610	1.7667	0.0000	0.9900	0.0938	0.0000	0.0805	0.1005
22	0.9675	-0.0717	1.7208	0.0000	0.9900	0.0417	0.0000	0.0358	0.1010
23	0.9758	-0.0908	1.7278	0.0000	0.9900	0.0521	0.0000	0.0454	0.1010
24	0.9712	-0.0554	1.7597	0.0000	0.9900	0.0313	0.0000	0.0277	0.0990
25	0.9702	-0.0532	1.6847	0.0000	0.9900	0.0313	0.0000	0.0266	0.1000
26	0.9702	-0.0721	1.6819	0.0000	0.9900	0.0417	0.0000	0.0361	0.1073
27	0.9692	-0.0900	1.7542	0.0000	0.9900	0.0521	0.0000	0.0450	0.1016
28	0.9773	-0.1270	1.7069	0.0000	0.9900	0.0729	0.0000	0.0635	0.1073
29	0.9623	-0.0538	1.7569	0.0000	0.9900	0.0313	0.0000	0.0269	0.0974
